preset_number,name,chord,chord_notes
1,Pop,C: Cadd9,E4 D4 G3 C3
1,Pop,C#: C#M9/C,F4 D#4 C4 C#3
1,Pop,D: Dm7,C4 A3 F4 D3
1,Pop,D#: D#M7,G4 D4 A#3 D#3
1,Pop,E: Cadd9/E,G4 D4 C4 E3
1,Pop,F: FM9,G4 E4 A3 F2
1,Pop,F#: Dadd9/F#,E4 D4 A3 F#2
1,Pop,G: Em7/G,G4 E4 D4 G2
1,Pop,G#: Fm6/G#,F4 D4 C4 G#2
1,Pop,A: FM/A,F4 C4 A3 A2
1,Pop,A#: Gm/A#,G4 D4 A#3 A#2
1,Pop,B: G/B,G4 D4 B3 B2
2,Pop,C: CM9,D4 B3 E3 C3
2,Pop,C#: C#dim7,E4 A#3 G3 C#3
2,Pop,D: Dm9,E4 C4 F3 D3
2,Pop,D#: D# dim7,F#4 C4 A3 D#3
2,Pop,E: Em7,G4 D4 B3 E3
2,Pop,F: FM9,G4 E4 A3 F3
2,Pop,F#: F#m7b5,E4 C4 A3 F#3
2,Pop,G: F/A,F4 C4 A3 G2
2,Pop,G#: G# dim7,F4 D4 B3 G#2
2,Pop,A: Am9,G4 C4 B3 A2
2,Pop,A#: C/A#,E4 C4 G3 A#2
2,Pop,B: Bm7b5,F4 D4 A3 B2
3,Jazz,C: D7sus2/C,D4 A3 E3 C3
3,Jazz,C#: C#7#9,E4 B3 F3 C#3
3,Jazz,D: Dm9,E4 C4 F3 D3
3,Jazz,D#: D7#9,F#4 C#4 G3 D#3
3,Jazz,E: E7#9,G4 D4 G#3 E3
3,Jazz,F: FM9,G4 E4 A3 F3
3,Jazz,F#: F#7#9,A4 E4 A#3 F#3
3,Jazz,G: G7(13),E4 B3 F3 G2
3,Jazz,G#: G#7(13),F4 C4 F#3 G#2
3,Jazz,A: Am7(11),D4 C4 G3 A2
3,Jazz,A#: A#9,D4 C4 G#3 A#2
3,Jazz,B: Bm7(11),E4 D4 A3 B2
4,Jazz,C: Dsus2/C,D4 A3 E3 C3
4,Jazz,C#: C#7#9,D#4 B3 F3 C#3
4,Jazz,D: Dm9,E4 C4 F3 D3
4,Jazz,D#: D#9,F4 C#4 G3 D#3
4,Jazz,E: Em9,F#4 D4 G3 E3
4,Jazz,F: Fm9,G4 D#4 G#3 F2
4,Jazz,F#: F#m7b5,E4 C4 A3 F#2
4,Jazz,G: Gaug7,D#4 B3 F3 G2
4,Jazz,G#: G#7(13),F4 C4 F#3 G#2
4,Jazz,A: Aaug7,F4 C#4 G3 A2
4,Jazz,A#: A#7(13),G4 D4 G#3 A#2
4,Jazz,B: Bm7(11),E4 D4 A3 B2
5,Jazz,C: CM9,D4 B3 E3 C3
5,Jazz,C#: C#M7,D#4 C4 F3 C#3
5,Jazz,D: DM9,E4 C#4 F#3 D3
5,Jazz,D#: D#M9,F4 D4 G3 D#3
5,Jazz,E: EM9,F#4 D#4 G#3 E3
5,Jazz,F: FM9,G4 E4 A3 F3
5,Jazz,F#: F#M9,G#4 F4 A#3 F#3
5,Jazz,G: GM9,A4 F#4 B3 G3
5,Jazz,G#: G#M9,A#4 G4 C4 G#3
5,Jazz,A: AM9,B4 G#4 C#4 A3
5,Jazz,A#: A#M9,C5 A4 D4 A#3
5,Jazz,B: BM9,C#5 A#4 D#4 B3
6,Blues,C: C9,E4 D4 A#3 C3
6,Blues,C#: C#9,D#4 B3 F3 C#3
6,Blues,D: D9,E4 C4 F#3 D3
6,Blues,D#: D#9,F4 C#4 G3 D#3
6,Blues,E: E7#9,G4 D4 G#3 E3
6,Blues,F: Fm9,G4 D#4 A3 F2
6,Blues,F#: F#dim7,D#4 C4 A3 F#2
6,Blues,G: G7(13),E4 B3 F3 G2
6,Blues,G#: G#dim7,F4 D4 B3 G#2
6,Blues,A: Aaug7,F4 C#4 G3 A2
6,Blues,A#: A#7(13),G4 D4 G#3 A#2
6,Blues,B: Bm7b5,F4 D4 A3 B2
7,Trad Maj,C: C,C5 G4 E4 C3
7,Trad Maj,C#: C#dim7,A#4 G4 E4 C#3
7,Trad Maj,D: Dm,A4 F4 D4 D3
7,Trad Maj,D#: D#dim7,C5 A4 F#4 D#3
7,Trad Maj,E: Em,B4 G4 E4 E3
7,Trad Maj,F: F,C5 A4 F4 F3
7,Trad Maj,F#: F#m7b5,C5 A4 E4 F#3
7,Trad Maj,G: G,B4 G4 D4 G3
7,Trad Maj,G#: G#dim7,B4 F4 D4 G#3
7,Trad Maj,A: Am,C5 A4 E4 A2
7,Trad Maj,A#: A#,A#4 F4 D4 A#2
7,Trad Maj,B: Bdim,B4 F4 D4 B2
8,Trad Min,C: Cm,C5 G4 D#4 C3
8,Trad Min,C#: C#,G#4 F4 C#4 C#3
8,Trad Min,D: Ddim,G#4 F4 D4 D3
8,Trad Min,D#: Eb,A#4 G4 D#4 D#3
8,Trad Min,E: Edim7,A#4 G4 C#4 E3
